--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.004  000.004: --- NVIM STARTING ---
000.073  000.069: event init
000.168  000.095: early init
009.612  009.444: locale set
009.653  000.041: init first window
010.211  000.558: inits 1
010.223  000.012: window checked
010.227  000.004: parsing arguments
011.110  000.306  000.306: require('vim.shared')
011.637  000.135  000.135: require('vim.inspect')
011.851  000.205  000.205: require('vim._options')
011.854  000.738  000.399: require('vim._editor')
011.856  001.137  000.092: require('vim._init_packages')
011.860  000.496: init lua interpreter
011.927  000.066: expanding arguments
011.946  000.019: inits 2
012.172  000.226: init highlight
012.198  000.026: clear screen
012.581  000.028  000.028: require('vim.keymap')
013.092  000.116  000.116: sourcing nvim_exec2()
017.272  005.072  004.928: require('vim._defaults')
017.277  000.007: init default mappings & autocommands
018.032  000.096  000.096: sourcing C:\Program Files\Neovim\share\nvim\runtime\ftplugin.vim
018.216  000.050  000.050: sourcing C:\Program Files\Neovim\share\nvim\runtime\indent.vim
019.514  000.732  000.732: require('lazy')
019.546  000.013  000.013: require('ffi')
019.977  000.231  000.231: require('vim.fs')
020.203  000.221  000.221: require('vim.uri')
020.217  000.667  000.215: require('vim.loader')
020.514  000.247  000.247: require('lazy.stats')
020.949  000.241  000.241: require('lazy.core.util')
021.124  000.169  000.169: require('lazy.core.config')
021.422  000.152  000.152: require('lazy.core.handler')
021.821  000.115  000.115: require('lazy.pkg')
021.827  000.233  000.118: require('lazy.core.meta')
021.831  000.404  000.172: require('lazy.core.plugin')
021.835  000.708  000.152: require('lazy.core.loader')
022.502  000.117  000.117: require('lazy.async')
022.840  000.148  000.148: require('lazy.manage.process')
023.000  000.154  000.154: require('lazy.terminal')
023.006  000.499  000.197: require('lazy.manage.task')
023.011  000.721  000.106: require('lazy.manage.runner')
023.015  000.866  000.145: require('lazy.manage')
023.018  001.010  000.144: require('lazy.view.commands')
023.215  000.180  000.180: require('lazy.core.fragments')
025.317  000.090  000.090: require('custom.neotest-runner')
026.453  000.729  000.729: require('snacks')
026.558  000.099  000.099: require('custom.user_secrets')
026.651  000.090  000.090: require('custom.dotnet-runner')
026.783  000.129  000.129: require('custom.terminals')
026.877  000.090  000.090: require('custom.stateful-snacks-explorer')
027.491  000.135  000.135: require('lazy.core.handler.event')
027.611  000.114  000.114: require('lazy.core.handler.keys')
027.739  000.123  000.123: require('lazy.core.handler.ft')
027.893  000.150  000.150: require('lazy.core.handler.cmd')
027.988  000.005  000.005: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
028.020  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
033.990  000.005  000.005: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
