--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.004  000.004: --- NVIM STARTING ---
000.040  000.035: event init
000.146  000.107: early init
009.106  008.960: locale set
009.149  000.043: init first window
009.704  000.555: inits 1
009.717  000.014: window checked
009.722  000.005: parsing arguments
010.613  000.319  000.319: require('vim.shared')
011.146  000.136  000.136: require('vim.inspect')
011.356  000.193  000.193: require('vim._options')
011.360  000.739  000.410: require('vim._editor')
011.361  001.142  000.084: require('vim._init_packages')
011.366  000.501: init lua interpreter
011.443  000.077: expanding arguments
011.461  000.018: inits 2
011.691  000.230: init highlight
011.717  000.026: clear screen
012.109  000.028  000.028: require('vim.keymap')
012.602  000.124  000.124: sourcing nvim_exec2()
016.799  005.080  004.928: require('vim._defaults')
016.804  000.007: init default mappings & autocommands
017.630  000.076  000.076: sourcing C:\Program Files\Neovim\share\nvim\runtime\ftplugin.vim
017.792  000.034  000.034: sourcing C:\Program Files\Neovim\share\nvim\runtime\indent.vim
018.910  000.680  000.680: require('lazy')
018.940  000.013  000.013: require('ffi')
019.371  000.227  000.227: require('vim.fs')
019.603  000.227  000.227: require('vim.uri')
019.617  000.674  000.220: require('vim.loader')
019.914  000.248  000.248: require('lazy.stats')
020.327  000.187  000.187: require('lazy.core.util')
020.479  000.147  000.147: require('lazy.core.config')
020.757  000.136  000.136: require('lazy.core.handler')
021.148  000.118  000.118: require('lazy.pkg')
021.154  000.277  000.158: require('lazy.core.meta')
021.158  000.397  000.120: require('lazy.core.plugin')
021.163  000.680  000.147: require('lazy.core.loader')
022.073  000.217  000.217: require('lazy.async')
022.369  000.139  000.139: require('lazy.manage.process')
022.542  000.167  000.167: require('lazy.terminal')
022.550  000.471  000.165: require('lazy.manage.task')
022.553  000.809  000.121: require('lazy.manage.runner')
022.557  000.956  000.147: require('lazy.manage')
022.560  001.132  000.176: require('lazy.view.commands')
022.701  000.123  000.123: require('lazy.core.fragments')
024.838  000.077  000.077: require('custom.neotest-runner')
025.925  000.758  000.758: require('snacks')
026.027  000.098  000.098: require('custom.user_secrets')
026.116  000.085  000.085: require('custom.dotnet-runner')
026.267  000.148  000.148: require('custom.terminals')
026.401  000.131  000.131: require('custom.stateful-snacks-explorer')
027.096  000.159  000.159: require('lazy.core.handler.event')
027.223  000.121  000.121: require('lazy.core.handler.keys')
027.356  000.109  000.109: require('lazy.core.handler.ft')
027.470  000.108  000.108: require('lazy.core.handler.cmd')
027.507  000.005  000.005: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
027.535  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
033.141  000.004  000.004: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
